"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,Indoor Games,Intercom,Landscaped Gardens,Gas connection","24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,611 sq ft","2","3","3 BHK Apartment ","1209 sq ft","West","3, ","Deccan Gymkhana","New","2","Road View","Co-Operative Society","","27000000","₹ 16,759/ sq ft ","Bhansali Prive Rio","40 feet","Ready to move","6"
"dict","","11 - 12 years","Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Lift Available,Children's play area,Club House","973 sq ft","","2","2 BHK Apartment ","","East","8","Wagholi","Resale","","","Freehold","","4220000","₹ 4,337/ sq ft ","Mulik Luxuria","","Ready to move,Semi-Furnished",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Sports Facility","854 sq ft","","2","2 BHK Apartment ","","East","8, ","Wagholi","Resale","","Garden View","Freehold","","3800000","₹ 4,449/ sq ft ","Venkatesh Oxy Valley Phase 1","","Ready to move,Unfurnished","9"
"dict","1 rooms( study room )","5 - 6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Wardrobe,Sofa,Dining Table,BED","Children's play area,Club House,Sports Facility,AC,TV,Refrigerator,Wifi,Gas connection","570 sq ft","1","1","1 BHK Apartment ","","North","10, ","Kharadi","Resale","2","Pool View, Garden View","Freehold","","3900000","₹ 6,842/ sq ft ","Krish The Pavillion","","Ready to move,Furnished","15"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Sports Facility","991 sq ft","","2","2 BHK Apartment ","","","","Kharadi","New","","","","","5252300","₹ 5,300/ sq ft ","SGL Vishwajeet Residency","","Ready to move",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,635 sq ft","","3","3 BHK Apartment ","","East","3","Koregaon Park","Resale","","","Freehold","","17500000","₹ 10,703/ sq ft ","Kumar Presidency","","Ready to move,Unfurnished",""
"dict","","11 - 12 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Sports Facility","1,205 sq ft","","2","2 BHK Apartment ","","North","2","Wadgaon Sheri","Resale","","","Freehold","","7700000","₹ 6,390/ sq ft ","BramhaCorp Suncity","","Ready to move,Unfurnished",""
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,347 sq ft","","","2 BHK Apartment ","","","Gr","Hadapsar","New","","","","","8755500","₹ 6,500/ sq ft ","Marvel Azure","","Ready to move",""
"dict","","2 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","800 sq ft","1","1","2 BHK Independent Floor ","","","1, ","Pimple Gurav","New","","","","","3700000","₹ 4,625/ sq ft ","","","Ready to move","4"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,270 sq ft","","","3 BHK Apartment ","","","Gr","Wagholi","New","","","","","5207000","₹ 4,100/ sq ft ","Suyog Nisarg","","Ready to move",""
"dict","1 rooms( study room )","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Staff Quarter,Multipurpose Room","Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,380 sq ft","1","2","2 BHK Apartment ","1061 sq ft","East","9, ","Kharadi","New","2","Corner, Garden View, Pool View, Road View","Freehold","Jun 2019","8300000","₹ 6,014/ sq ft ","Mantri Dwellings Mantri Vantage","30 feet","Under Construction","21"
